"idobservation","nomedevice","tempo1","tempo2","tempo3","tempo4","tempo5","timestamp_column"
868130,"images",0.944568,1.486819,0.000034,0.246400,3.085272,"2024-09-25 22:30:33"
870193,"images",0.925451,1.400922,0.000031,0.251021,4.206036,"2024-09-25 22:58:00"
876176,"images",1.026168,0.914085,0.000034,0.252250,3.448365,"2024-09-26 00:24:07"
874526,"images",0.927365,0.901550,0.000033,0.248329,4.238268,"2024-09-25 23:58:59"
892045,"images",0.885493,0.891699,0.000028,0.246284,4.202170,"2024-09-26 04:08:29"
878746,"images",0.979311,1.220823,0.000033,0.246282,4.269940,"2024-09-26 00:59:15"
869897,"images",1.490064,1.569528,0.000039,0.246630,4.325083,"2024-09-25 22:53:53"
885457,"images",0.964499,1.503635,0.000032,0.245750,4.234830,"2024-09-26 02:32:45"
883017,"images",0.784030,1.362515,0.000028,0.244745,3.681257,"2024-09-26 02:00:09"
891482,"images",0.799332,1.205594,0.000028,0.249646,3.510423,"2024-09-26 03:59:32"
888623,"images",0.855362,1.410775,0.000032,0.244637,4.093292,"2024-09-26 03:17:58"
852476,"images",0.984564,1.331205,0.000032,0.246582,3.174107,"2024-09-25 18:50:03"
887749,"images",0.994712,0.889229,0.000032,0.244223,3.081888,"2024-09-26 03:07:34"
874998,"images",0.945892,0.886879,0.000031,0.247927,4.304460,"2024-09-26 00:06:43"
891627,"images",0.980948,1.423648,0.000030,0.243061,3.847060,"2024-09-26 04:01:28"
859792,"images",0.971587,1.453518,0.000033,0.250528,3.210137,"2024-09-25 20:32:08"
881528,"images",0.979952,1.440123,0.000033,0.247493,2.401100,"2024-09-26 01:37:28"
870011,"images",0.955949,0.902137,0.000032,0.251695,4.177031,"2024-09-25 22:55:11"
872191,"images",0.973022,1.331061,0.000031,0.244218,3.553592,"2024-09-25 23:27:56"
889507,"images",0.963953,1.226578,0.000031,0.248121,2.493969,"2024-09-26 03:29:25"
891568,"images",0.693557,0.886290,0.000027,0.245110,2.392389,"2024-09-26 04:00:50"
859025,"images",1.002021,1.410230,0.000040,0.243750,3.760586,"2024-09-25 20:20:47"
880615,"images",0.946026,1.666532,0.000035,0.250413,4.304826,"2024-09-26 01:26:05"
887353,"images",0.983037,1.336700,0.000032,0.252137,4.252657,"2024-09-26 03:01:33"
875361,"images",0.967348,1.035021,0.000032,0.257067,4.315027,"2024-09-26 00:11:51"
866713,"images",0.943231,1.705475,0.000033,0.244717,4.129848,"2024-09-25 22:09:47"
878517,"images",0.927572,0.952707,0.000033,0.245117,4.112009,"2024-09-26 00:55:29"
882774,"images",0.960184,1.560599,0.000032,0.243646,3.780005,"2024-09-26 01:56:29"
891658,"images",0.791084,1.298063,0.000052,0.243673,3.753189,"2024-09-26 04:02:01"
875525,"images",0.994705,1.431643,0.000066,0.247089,3.517149,"2024-09-26 00:14:30"
862990,"images",0.954578,1.206350,0.000031,0.247848,4.282389,"2024-09-25 21:17:11"
870779,"images",0.990308,1.356548,0.000030,0.243675,4.343722,"2024-09-25 23:06:54"
859556,"images",0.996997,0.878054,0.000034,0.243886,3.947945,"2024-09-25 20:28:18"
882023,"images",0.980425,1.446174,0.000050,0.242994,4.345914,"2024-09-26 01:44:58"
864651,"images",0.956464,1.482612,0.000030,0.248999,2.311256,"2024-09-25 21:42:26"
853243,"images",0.983297,1.369524,0.000037,0.247874,2.429713,"2024-09-25 18:59:37"
876423,"images",0.949985,1.347153,0.000032,0.246222,3.369834,"2024-09-26 00:27:25"
856493,"images",0.970228,1.470382,0.000031,0.247242,4.036191,"2024-09-25 19:47:03"
862250,"images",0.947404,1.350238,0.000031,0.248458,2.518770,"2024-09-25 21:05:58"
858173,"images",0.947072,1.384859,0.000031,0.244234,4.257257,"2024-09-25 20:07:38"
871243,"images",0.980790,1.278485,0.000030,0.274834,3.964004,"2024-09-25 23:13:25"
860415,"images",0.987652,1.503993,0.000030,0.258133,4.276640,"2024-09-25 20:41:31"
857703,"images",0.990321,1.290091,0.000054,0.248770,4.454648,"2024-09-25 20:00:53"
870675,"images",0.950430,1.240248,0.000031,0.241920,3.344196,"2024-09-25 23:05:26"
864808,"images",0.929160,0.882169,0.000031,0.245025,4.217705,"2024-09-25 21:43:43"
890979,"images",0.787968,1.452705,0.000030,0.242813,3.218392,"2024-09-26 03:51:54"
855879,"images",0.968397,0.882368,0.000032,0.244061,4.232561,"2024-09-25 19:37:26"
852821,"images",0.972756,1.295123,0.000031,0.247788,4.441652,"2024-09-25 18:55:01"
885409,"images",0.948142,0.893748,0.000033,0.249514,3.517319,"2024-09-26 02:31:58"
888539,"images",0.756923,1.320586,0.000035,0.243158,2.999944,"2024-09-26 03:17:29"
878158,"images",0.950178,1.264949,0.000033,0.245175,2.296674,"2024-09-26 00:49:30"
